,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,Wine Region,Wine Color
238,5.9,0.31,0.3,7.7,0.047,60.0,206.0,0.995,3.2,0.39,9.6,6,Madeira,White
239,6.5,0.19,0.1,1.3,0.046,23.0,107.0,0.9937,3.29,0.45,10.0,5,Terras De Cister,Red
240,7.6,0.19,0.32,18.75,0.047,32.0,193.0,100.014,3.1,0.5,9.3,7,Alentejo,Rose
241,8.1,0.24,0.38,4.3,0.044,49.0,172.0,0.996,3.37,0.74,10.8,6,Algarve,Rose
242,7.3,0.2,0.39,2.3,0.048,24.0,87.0,0.99044,2.94,0.35,12.0,6,Beira Interior,Rose
243,6.5,0.21,0.28,1.4,0.046,26.0,66.0,0.99199,3.43,0.48,11.1,6,Transmontano,White
244,5.2,0.38,0.26,7.7,0.053,20.0,103.0,0.9925,3.27,0.45,12.2,6,Douro Valley,White
245,6.1,0.38,0.47,1.4,0.051,59.0,210.0,0.99309,3.24,0.5,9.6,5,Beira Atlantico,Red
246,7.0,0.21,0.34,8.5,0.033,31.0,253.0,0.9953,3.22,0.56,10.5,6,Beira Atlantico,White
247,6.9,0.35,0.55,11.95,0.038,22.0,111.0,0.99687,3.11,0.29,9.7,5,Alentejo,Rose
248,6.1,0.27,0.32,6.2,0.048,47.0,161.0,0.99281,3.22,0.6,11.0,6,Terras De Cister,Red
249,6.8,0.23,0.32,1.6,0.026,43.0,147.0,0.9904,3.29,0.54,12.5,6,Beira Interior,Rose
250,6.4,0.27,0.29,10.8,0.028,17.0,118.0,0.99356,3.18,0.37,11.2,6,Setubal,Rose
251,8.1,0.3,0.49,8.1,0.037,26.0,174.0,0.9943,3.1,0.3,11.2,7,Transmontano,White
252,7.4,0.22,0.28,9.0,0.046,22.0,121.0,0.99468,3.1,0.55,10.8,5,Beira Atlantico,Rose
253,6.7,0.22,0.39,1.2,0.049,26.0,152.0,0.99346,3.5,0.47,10.0,6,Setubal,White
254,5.9,0.445,0.26,1.4,0.027,23.0,109.0,0.99148,3.3,0.36,10.5,6,Terras De Cister,Rose
255,6.2,0.17,0.3,1.1,0.037,14.0,79.0,0.993,3.5,0.54,10.3,6,Minho,White
256,6.5,0.18,0.34,1.6,0.04,43.0,148.0,0.9912,3.32,0.59,11.5,8,Minho,Red
257,7.8,0.445,0.56,1.0,0.04,8.0,84.0,0.9938,3.25,0.43,10.8,5,Beira Atlantico,Red
258,5.0,0.33,0.23,11.8,0.03,23.0,158.0,0.99322,3.41,0.64,11.8,6,Dao,Red
259,7.1,0.2,0.34,16.0,0.05,51.0,166.0,0.9985,3.21,0.6,9.2,6,Transmontano,Red
260,6.5,0.28,0.28,20.4,0.041,40.0,144.0,10.002,3.14,0.38,8.7,5,Dao,Rose
261,7.4,0.18,0.36,13.1,0.056,72.0,163.0,1.0,3.42,0.35,9.1,6,Transmontano,Rose
262,7.3,0.23,0.34,9.3,0.052,19.0,86.0,0.99574,3.04,0.56,10.0,5,Alentejo,White
263,8.0,0.24,0.36,1.5,0.047,17.0,129.0,0.9948,3.2,0.54,10.0,6,Minho,Red
264,6.7,0.31,0.42,6.4,0.057,25.0,148.0,0.9955,3.16,0.45,9.6,5,Minho,White
265,6.0,0.38,0.26,6.0,0.034,42.0,134.0,0.9912,3.38,0.38,12.3,7,Beira Interior,White
266,6.8,0.31,0.09,1.4,0.04,56.0,145.0,0.9922,3.19,0.46,10.0,5,Lisboa,White
267,6.6,0.38,0.15,4.6,0.044,25.0,78.0,0.9931,3.11,0.38,10.2,6,Lisboa,Rose
268,5.9,0.24,0.26,12.3,0.053,34.0,134.0,0.9972,3.34,0.45,9.5,6,Douro Valley,White
269,8.0,0.34,0.25,6.4,0.035,38.0,103.0,0.99148,2.91,0.23,12.2,6,Beira Interior,White
270,6.9,0.38,0.32,8.5,0.044,36.0,152.0,0.9932,3.38,0.35,12.0,7,Alentejo,Rose
271,7.6,0.29,0.49,9.6,0.03,45.0,197.0,0.9938,3.13,0.38,12.3,7,Lisboa,Rose
272,7.8,0.23,0.28,4.75,0.042,45.0,166.0,0.9928,2.96,0.4,11.5,5,Beira Interior,White
273,6.6,0.34,0.27,6.2,0.059,23.0,136.0,0.9957,3.3,0.49,10.1,6,Terras De Cister,Rose
274,6.4,0.26,0.21,8.2,0.05,51.0,182.0,0.99542,3.23,0.48,9.5,5,Alentejo,Rose
275,6.7,0.17,0.37,2.0,0.039,34.0,125.0,0.9922,3.26,0.6,10.8,7,Beira Interior,Rose
276,7.3,0.4,0.24,6.7,0.058,41.0,166.0,0.995,3.2,0.41,9.9,6,Douro Valley,Rose
277,6.2,0.23,0.38,1.6,0.044,12.0,113.0,0.99176,3.3,0.73,11.4,5,Dao,Rose
278,6.8,0.4,0.29,2.8,0.044,27.0,97.0,0.9904,3.12,0.42,11.2,6,Douro Valley,White
280,6.2,0.21,0.52,6.5,0.047,28.0,123.0,0.99418,3.22,0.49,9.9,6,Setubal,White
281,6.9,0.32,0.13,7.8,0.042,11.0,117.0,0.996,3.23,0.37,9.2,5,Terras De Cister,Rose
282,6.4,0.37,0.19,3.5,0.068,18.0,101.0,0.9934,3.03,0.38,9.0,6,Madeira,Red
283,6.9,0.28,0.37,9.1,0.037,16.0,76.0,0.9948,3.05,0.54,11.1,5,Tejo,White
284,7.0,0.3,0.32,6.4,0.034,28.0,97.0,0.9924,3.23,0.44,11.8,6,Algarve,White
285,6.5,0.37,0.3,2.2,0.033,39.0,107.0,0.98894,3.22,0.53,13.5,7,Algarve,Red
286,6.4,0.3,0.51,5.5,0.048,62.0,172.0,0.9942,3.08,0.45,9.1,6,Tejo,Rose
287,6.3,0.33,0.42,17.2,0.037,57.0,170.0,0.99884,3.26,0.57,9.4,6,Setubal,Rose
288,6.7,0.28,0.34,8.9,0.048,32.0,111.0,0.99455,3.25,0.54,11.0,7,Algarve,White
289,6.5,0.43,0.28,12.0,0.056,23.0,174.0,0.9986,3.31,0.55,9.3,5,Douro Valley,Red
290,7.8,0.28,0.22,1.4,0.056,24.0,130.0,0.9944,3.28,0.48,9.5,5,Dao,Red
291,6.8,0.26,0.24,7.8,0.052,54.0,214.0,0.9961,3.13,0.47,8.9,5,Lisboa,White
292,7.5,0.41,0.23,14.8,0.054,28.0,174.0,0.99898,3.18,0.49,9.7,5,Transmontano,White
293,6.6,0.18,0.28,1.7,0.041,53.0,161.0,0.99207,3.13,0.45,10.2,6,Minho,Red
294,7.1,0.36,0.56,1.3,0.046,25.0,102.0,0.9923,3.24,0.33,10.5,6,Dao,White
295,6.7,0.16,0.32,12.5,0.035,18.0,156.0,0.99666,2.88,0.36,9.0,6,Tejo,White
296,7.0,0.14,0.28,1.3,0.026,10.0,56.0,0.99352,3.46,0.45,9.9,5,Tejo,Rose
297,6.4,0.26,0.26,1.1,0.052,22.0,176.0,0.99304,3.09,0.54,9.3,5,Algarve,Rose
298,5.1,0.165,0.22,5.7,0.047,42.0,146.0,0.9934,3.18,0.55,9.9,6,Algarve,Rose
299,7.6,0.27,0.24,3.8,0.058,19.0,115.0,0.9958,3.15,0.45,8.9,5,Setubal,Rose
300,7.5,0.32,0.49,1.7,0.031,44.0,109.0,0.9906,3.07,0.46,12.5,6,Algarve,White
301,7.2,0.29,0.18,8.2,0.042,41.0,180.0,0.99644,3.16,0.49,9.1,5,Minho,Rose
302,7.6,0.27,0.52,3.2,0.043,28.0,152.0,0.99129,3.02,0.53,11.4,6,Beira Atlantico,Red
303,7.6,0.37,0.34,3.2,0.028,42.0,162.0,0.9903,3.01,0.33,12.4,6,Lisboa,Rose
304,7.2,0.32,0.36,2.0,0.033,37.0,114.0,0.9906,3.1,0.71,12.3,7,Algarve,White
305,7.4,0.29,0.28,10.2,0.032,43.0,138.0,0.9951,3.1,0.47,10.6,6,Dao,White
306,7.2,0.22,0.28,7.2,0.06,41.0,132.0,0.9935,3.08,0.59,11.3,6,Minho,White
308,6.4,0.25,0.32,11.3,0.038,69.0,192.0,0.99573,3.14,0.5,10.2,6,Douro Valley,Red
309,7.2,0.24,0.3,1.2,0.037,11.0,95.0,0.98914,2.96,0.36,12.5,6,Douro Valley,Red
310,5.2,0.21,0.31,1.7,0.048,17.0,61.0,0.98953,3.24,0.37,12.0,7,Douro Valley,White
311,7.6,0.33,0.41,13.7,0.045,44.0,197.0,0.9989,3.18,0.64,9.1,5,Alentejo,White
312,5.9,0.24,0.3,2.0,0.033,28.0,92.0,0.99225,3.39,0.69,10.9,7,Tejo,Rose
313,8.8,0.17,0.38,1.8,0.04,39.0,148.0,0.9942,3.16,0.67,10.2,6,Madeira,Red
314,6.2,0.23,0.36,17.2,0.039,37.0,130.0,0.99946,3.23,0.43,8.8,6,Dao,White
315,6.3,0.33,0.27,1.2,0.046,34.0,175.0,0.9934,3.37,0.54,9.4,6,Dao,White
316,7.3,0.32,0.48,13.3,0.06,57.0,196.0,0.9982,3.04,0.5,9.2,5,Tejo,Rose
317,6.2,0.3,0.26,13.4,0.046,57.0,206.0,0.99775,3.17,0.43,9.5,6,Algarve,Red
318,7.3,0.34,0.39,5.2,0.04,45.0,163.0,0.9925,3.3,0.47,12.4,6,Setubal,White
319,6.0,0.19,0.26,12.4,0.048,50.0,147.0,0.9972,3.3,0.36,8.9,6,Transmontano,White
320,7.9,0.22,0.24,4.6,0.044,39.0,159.0,0.9927,2.99,0.28,11.5,6,Minho,Red
321,7.1,0.32,0.32,11.0,0.038,16.0,66.0,0.9937,3.24,0.4,11.5,3,Algarve,Red
322,7.2,0.31,0.46,5.0,0.04,3.0,29.0,0.9906,3.04,0.53,12.5,4,Algarve,Red
323,7.9,0.36,0.53,12.9,0.049,63.0,139.0,0.99792,2.94,0.45,9.1,5,Algarve,White
324,8.0,0.42,0.36,5.0,0.037,34.0,101.0,0.992,3.13,0.57,12.3,7,Terras De Cister,Rose
325,5.6,0.28,0.4,6.1,0.034,36.0,118.0,0.99144,3.21,0.43,12.1,7,Setubal,Rose
326,6.9,0.19,0.31,19.25,0.043,38.0,167.0,0.99954,2.93,0.52,9.1,7,Minho,White
327,6.9,0.15,0.29,2.3,0.033,14.0,82.0,0.99132,3.1,0.58,11.2,7,Douro Valley,Rose
328,7.2,0.24,0.4,1.4,0.045,31.0,106.0,0.9914,2.88,0.38,10.8,6,Minho,White
329,6.6,0.25,0.3,14.4,0.052,40.0,183.0,0.998,3.02,0.5,9.1,6,Algarve,Rose
330,6.2,0.27,0.32,6.3,0.048,47.0,159.0,0.99282,3.21,0.6,11.0,6,Dao,Red
331,6.3,0.23,0.3,1.8,0.033,16.0,91.0,0.9906,3.28,0.4,11.8,6,Dao,Rose
332,6.6,0.18,0.28,1.7,0.041,53.0,161.0,0.99207,3.13,0.45,10.2,6,Alentejo,White
333,6.7,0.44,0.31,1.9,0.03,41.0,104.0,0.99,3.29,0.62,12.6,7,Dao,White
334,6.6,0.41,0.31,1.6,0.042,18.0,101.0,0.99195,3.13,0.41,10.5,5,Setubal,Red
335,7.8,0.43,0.49,13.0,0.033,37.0,158.0,0.9955,3.14,0.35,11.3,6,Dao,Rose
336,6.9,0.19,0.32,7.9,0.042,30.0,130.0,0.99456,3.4,0.39,10.5,6,Tejo,Rose
337,6.7,0.16,0.34,1.6,0.026,27.0,109.0,0.9934,3.34,0.58,10.1,6,Setubal,White
338,6.8,0.16,0.4,2.3,0.037,18.0,102.0,0.9923,3.49,0.42,11.4,7,Minho,Red
339,5.8,0.26,0.3,2.6,0.034,75.0,129.0,0.9902,3.2,0.38,11.5,4,Setubal,White
340,7.0,0.28,0.33,14.6,0.043,47.0,168.0,0.9994,3.34,0.67,8.8,6,Algarve,Red
341,8.0,0.2,0.4,5.2,0.055,41.0,167.0,0.9953,3.18,0.4,10.6,7,Transmontano,White
342,7.5,0.26,0.52,13.2,0.047,64.0,179.0,0.9982,3.1,0.46,9.0,5,Douro Valley,Rose
343,8.1,0.24,0.32,10.5,0.03,34.0,105.0,0.99407,3.11,0.42,11.8,6,Lisboa,White
344,6.6,0.25,0.25,1.3,0.04,28.0,85.0,0.98984,2.87,0.48,11.2,6,Lisboa,Rose
345,5.7,0.245,0.33,1.1,0.049,28.0,150.0,0.9927,3.13,0.42,9.3,5,Douro Valley,Red
346,8.4,0.32,0.35,11.7,0.029,3.0,46.0,0.99439,3.02,0.34,11.8,6,Beira Interior,White
347,7.1,0.26,0.31,2.2,0.044,29.0,128.0,0.9937,3.34,0.64,10.9,8,Dao,Red
348,7.8,0.28,0.31,2.1,0.046,28.0,208.0,0.99434,3.23,0.64,9.8,5,Setubal,White
349,7.3,0.26,0.32,1.2,0.041,29.0,94.0,0.98978,3.07,0.45,12.0,6,Lisboa,Rose
350,6.3,0.23,0.33,6.9,0.052,23.0,118.0,0.9938,3.23,0.46,10.4,6,Terras De Cister,Red
351,6.5,0.17,0.31,1.5,0.041,34.0,121.0,0.99092,3.06,0.46,10.5,6,Tejo,Rose
352,6.1,0.27,0.44,6.7,0.041,61.0,230.0,0.99505,3.12,0.4,8.9,5,Minho,Red
353,6.5,0.28,0.29,2.7,0.038,26.0,107.0,0.9912,3.32,0.41,11.6,7,Lisboa,White
354,8.7,0.45,0.4,1.5,0.067,17.0,100.0,0.9957,3.27,0.57,10.1,6,Beira Atlantico,Rose
355,5.9,0.3,0.3,2.0,0.03,38.0,142.0,0.98892,3.41,0.41,12.9,7,Lisboa,Rose
356,6.1,0.35,0.07,1.4,0.069,22.0,108.0,0.9934,3.23,0.52,9.2,5,Transmontano,White
357,6.1,0.28,0.3,7.75,0.031,33.0,139.0,0.99296,3.22,0.46,11.0,6,Minho,White
358,6.4,0.25,0.33,1.4,0.04,42.0,115.0,0.9906,3.19,0.48,11.3,7,Setubal,White
359,8.4,0.18,0.42,5.1,0.036,7.0,77.0,0.9939,3.16,0.52,11.7,5,Madeira,White
360,6.9,0.27,0.41,1.7,0.047,6.0,134.0,0.9929,3.15,0.69,11.4,6,Douro Valley,Red
361,6.1,0.34,0.21,5.0,0.042,17.0,133.0,0.99373,3.02,0.53,9.4,5,Transmontano,White
362,6.0,0.34,0.29,6.1,0.046,29.0,134.0,0.99462,3.48,0.57,10.7,6,Dao,Red
363,6.5,0.2,0.31,2.1,0.033,32.0,95.0,0.989435,2.96,0.61,12.0,6,Dao,Rose
364,8.2,0.2,0.49,3.5,0.057,14.0,108.0,0.9928,3.19,0.35,11.5,6,Beira Atlantico,Rose
365,7.6,0.2,0.3,14.2,0.056,53.0,212.5,0.999,3.14,0.46,8.9,8,Lisboa,Rose
366,5.8,0.34,0.16,7.0,0.037,26.0,116.0,0.9949,3.46,0.45,10.0,7,Douro Valley,Rose
367,6.1,0.22,0.28,16.55,0.059,54.0,135.0,0.99665,3.2,0.38,10.5,5,Minho,White
368,8.3,0.2,0.49,1.7,0.04,34.0,169.0,0.9938,3.05,0.37,10.1,5,Algarve,Red
369,6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.994,3.3,0.49,9.5,6,Terras De Cister,White
370,6.3,0.22,0.34,5.0,0.032,36.0,93.0,0.99012,3.27,0.36,13.5,7,Beira Atlantico,White
371,6.0,0.28,0.27,2.3,0.051,23.0,147.0,0.994,3.23,0.67,10.3,6,Terras De Cister,White
372,8.0,0.45,0.36,8.8,0.026,50.0,151.0,0.9927,3.07,0.25,12.7,8,Lisboa,Red
373,6.8,0.3,0.22,6.2,0.06,41.0,190.0,0.99858,3.18,0.51,9.2,5,Douro Valley,White
374,7.0,0.32,0.34,1.3,0.042,20.0,69.0,0.9912,3.31,0.65,12.0,7,Alentejo,White
375,7.3,0.23,0.41,14.6,0.048,73.0,223.0,0.99863,3.16,0.71,9.4,6,Minho,Red
376,6.8,0.34,0.1,1.4,0.049,29.0,118.0,0.9936,3.21,0.41,9.5,5,Madeira,White
377,7.3,0.17,0.36,8.2,0.028,44.0,111.0,0.99272,3.14,0.41,12.4,6,Tejo,Rose
378,6.6,0.15,0.32,6.0,0.033,59.0,128.0,0.99192,3.19,0.71,12.1,8,Beira Interior,Rose
379,7.8,0.15,0.24,7.7,0.047,21.0,98.0,0.9951,2.94,0.31,9.6,6,Dao,White
380,6.7,0.24,0.41,8.7,0.036,29.0,148.0,0.9952,3.22,0.62,9.9,6,Douro Valley,Red
382,5.9,0.23,0.3,12.9,0.054,57.0,170.0,0.9972,3.28,0.39,9.4,5,Terras De Cister,White
383,6.5,0.28,0.35,15.4,0.042,55.0,195.0,0.9978,3.23,0.5,9.6,6,Terras De Cister,Red
384,7.5,0.33,0.28,4.9,0.042,21.0,155.0,0.99385,3.36,0.57,10.9,6,Minho,Rose
385,7.8,0.29,0.36,7.0,0.042,38.0,161.0,0.9941,3.26,0.37,11.2,8,Lisboa,Rose
386,7.8,0.24,0.38,2.1,0.058,14.0,167.0,0.994,3.21,0.55,9.9,5,Setubal,Red
387,6.9,0.25,0.35,9.2,0.034,42.0,150.0,0.9947,3.21,0.36,11.5,6,Beira Interior,Red
388,6.9,0.25,0.35,9.2,0.034,42.0,150.0,0.9947,3.21,0.36,11.5,6,Terras De Cister,White
389,6.9,0.25,0.4,1.3,0.038,22.0,101.0,0.9901,3.03,0.39,11.4,6,Terras De Cister,White
390,6.1,0.27,0.28,9.8,0.042,61.0,125.0,0.99532,3.14,0.42,10.2,6,Lisboa,White
391,6.4,0.14,0.31,1.2,0.034,53.0,138.0,0.99084,3.38,0.35,11.5,7,Setubal,Rose
392,5.8,0.19,0.33,4.2,0.038,49.0,133.0,0.99107,3.16,0.42,11.3,7,Madeira,White
393,5.9,0.29,0.32,1.4,0.022,17.0,47.0,0.9899,3.35,0.35,11.5,6,Terras De Cister,Rose
394,7.4,0.3,0.49,8.2,0.055,49.0,188.0,0.9974,3.52,0.58,9.7,6,Beira Interior,White
395,6.0,0.3,0.44,1.5,0.046,15.0,182.0,0.99455,3.5,0.52,10.4,5,Lisboa,Red
396,7.5,0.25,0.32,8.2,0.024,53.0,209.0,0.99563,3.12,0.46,10.8,6,Algarve,Red
397,7.3,0.41,0.29,1.8,0.032,26.0,74.0,0.98889,2.96,0.35,13.0,8,Transmontano,Red
398,7.3,0.22,0.5,13.7,0.049,56.0,189.0,0.9994,3.24,0.66,9.0,6,Douro Valley,White
399,7.9,0.22,0.49,3.8,0.042,26.0,105.0,0.993,3.1,0.39,10.5,5,Lisboa,Red
400,6.1,0.36,0.41,19.35,0.07,67.0,207.0,100.118,3.39,0.53,9.1,5,Beira Atlantico,Rose
401,7.4,0.16,0.27,15.5,0.05,25.0,135.0,0.9984,2.9,0.43,8.7,7,Lisboa,Rose
402,8.0,0.23,0.46,1.5,0.03,30.0,125.0,0.9907,3.23,0.47,12.5,6,Madeira,White
403,6.7,0.19,0.39,1.0,0.032,14.0,71.0,0.98912,3.31,0.38,13.0,7,Transmontano,Red
404,5.3,0.23,0.56,0.9,0.041,46.0,141.0,0.99119,3.16,0.62,9.7,5,Alentejo,Red
405,7.2,0.16,0.35,1.2,0.031,27.0,84.0,0.9928,3.33,0.34,9.9,5,Transmontano,White
406,6.4,0.15,0.44,1.2,0.043,67.0,150.0,0.9907,3.14,0.73,11.2,7,Algarve,White
407,7.3,0.19,0.25,1.4,0.051,41.0,107.0,0.99382,3.53,0.66,10.5,7,Alentejo,White
408,8.0,0.34,0.49,9.0,0.033,39.0,180.0,0.9936,3.13,0.38,12.3,8,Transmontano,Rose
409,7.9,0.2,0.39,1.0,0.041,37.0,154.0,0.99093,3.08,0.43,11.9,5,Beira Atlantico,Rose
410,5.9,0.37,0.32,1.6,0.029,41.0,102.0,0.98916,3.41,0.55,12.7,7,Beira Interior,Rose
411,7.1,0.31,0.25,11.2,0.048,32.0,136.0,0.99663,3.14,0.4,9.5,5,Tejo,White
412,6.1,0.38,0.2,6.6,0.033,25.0,137.0,0.9938,3.3,0.69,10.4,6,Beira Interior,Rose
413,7.6,0.17,0.27,4.6,0.05,23.0,98.0,0.99422,3.08,0.47,9.5,6,Minho,White
414,5.9,0.29,0.16,7.9,0.044,48.0,197.0,0.99512,3.21,0.36,9.4,5,Tejo,White
415,6.9,0.18,0.38,6.5,0.039,20.0,110.0,0.9943,3.1,0.42,10.5,5,Douro Valley,Red
416,7.0,0.15,0.28,14.7,0.051,29.0,149.0,0.99792,2.96,0.39,9.0,7,Dao,Red
417,7.0,0.21,0.42,5.3,0.037,36.0,123.0,0.99321,3.14,0.52,10.9,6,Lisboa,White
418,6.8,0.26,0.34,15.1,0.06,42.0,162.0,0.99705,3.24,0.52,10.5,3,Alentejo,White
419,7.9,0.29,0.36,11.1,0.033,43.0,208.0,0.9969,3.14,0.46,10.3,5,Terras De Cister,Rose
420,7.8,0.25,0.34,13.7,0.044,66.0,184.0,0.99976,3.22,0.75,8.9,5,Alentejo,White
421,5.7,0.26,0.25,10.4,0.02,7.0,57.0,0.994,3.39,0.37,10.6,5,Transmontano,White
422,6.0,0.16,0.22,1.6,0.042,36.0,106.0,0.9905,3.24,0.32,11.4,6,Tejo,Red
423,6.4,0.28,0.44,7.1,0.048,49.0,179.0,0.99528,3.15,0.48,9.2,5,Alentejo,White
424,7.3,0.26,0.49,5.0,0.028,32.0,107.0,0.9936,3.24,0.54,10.8,6,Madeira,Rose
425,8.8,0.34,0.33,9.7,0.036,46.0,172.0,0.9966,3.08,0.4,10.2,5,Terras De Cister,Red
426,5.2,0.36,0.02,1.6,0.031,24.0,104.0,0.9896,3.44,0.35,12.2,6,Douro Valley,White
427,6.8,0.34,0.27,5.2,0.06,14.0,169.0,0.99252,3.27,0.57,11.6,6,Beira Interior,White
428,6.9,0.19,0.33,1.6,0.039,27.0,98.0,0.9898,3.09,0.46,12.3,7,Beira Atlantico,Rose
429,6.4,0.18,0.32,9.6,0.052,24.0,90.0,0.9963,3.35,0.49,9.4,6,Dao,White
430,7.4,0.24,0.31,8.4,0.045,52.0,183.0,0.9963,3.09,0.32,8.8,5,Madeira,White
431,7.8,0.27,0.33,2.4,0.053,36.0,175.0,0.992,3.2,0.55,11.0,6,Beira Interior,Red
432,7.5,0.18,0.31,11.7,0.051,24.0,94.0,0.997,3.19,0.44,9.5,7,Madeira,Rose
433,6.5,0.19,0.28,1.4,0.046,22.0,90.0,0.99038,3.18,0.51,11.7,7,Lisboa,Red
434,6.8,0.27,0.3,13.0,0.047,69.0,160.0,0.99705,3.16,0.5,9.6,6,Madeira,Rose
435,6.2,0.34,0.3,11.1,0.047,28.0,237.0,0.9981,3.18,0.49,8.7,5,Transmontano,Rose
436,8.1,0.2,0.49,11.8,0.048,46.0,212.0,0.9968,3.09,0.46,10.0,7,Dao,Rose
437,7.2,0.29,0.4,13.6,0.045,66.0,231.0,0.9977,3.08,0.59,9.6,6,Beira Interior,White
438,7.2,0.15,0.38,1.2,0.038,18.0,110.0,0.9917,3.19,0.43,11.1,6,Tejo,Red
439,6.9,0.19,0.49,6.6,0.036,49.0,172.0,0.9932,3.2,0.27,11.5,6,Algarve,White
440,7.0,0.27,0.48,6.1,0.042,60.0,184.0,0.99566,3.2,0.5,9.4,6,Minho,Rose
441,7.4,0.3,0.49,8.2,0.055,49.0,188.0,0.9974,3.52,0.58,9.7,6,Dao,White
442,6.7,0.18,0.28,10.2,0.039,29.0,115.0,0.99469,3.11,0.45,10.9,7,Madeira,Red
443,6.5,0.22,0.25,17.1,0.05,44.0,138.0,10.001,3.3,0.37,8.8,5,Beira Atlantico,White
444,8.6,0.17,0.28,2.7,0.047,38.0,150.0,0.99365,3.1,0.56,10.8,6,Setubal,Red
445,6.9,0.35,0.55,11.95,0.038,22.0,111.0,0.99687,3.11,0.29,9.7,5,Lisboa,White
446,6.3,0.27,0.25,5.8,0.038,52.0,155.0,0.995,3.28,0.38,9.4,6,Lisboa,Rose
447,7.1,0.23,0.3,2.6,0.034,62.0,148.0,0.99121,3.03,0.56,11.3,7,Algarve,White
448,6.0,0.39,0.26,2.7,0.038,39.0,187.0,0.99325,3.41,0.5,10.8,6,Terras De Cister,Red
449,7.6,0.29,0.26,6.5,0.042,32.0,160.0,0.9944,3.14,0.47,10.7,5,Beira Atlantico,Red
450,8.6,0.18,0.28,0.8,0.032,25.0,78.0,0.99104,2.99,0.38,11.1,5,Douro Valley,White
451,6.0,0.28,0.35,1.9,0.037,16.0,120.0,0.9933,3.16,0.69,10.6,5,Minho,Red
452,7.3,0.22,0.49,9.4,0.034,29.0,134.0,0.9939,2.99,0.32,11.0,7,Douro Valley,Red
453,6.4,0.24,0.26,8.2,0.054,47.0,182.0,0.99538,3.12,0.5,9.5,5,Dao,Rose
454,6.6,0.31,0.49,7.7,0.05,52.0,220.0,0.9964,3.12,0.45,8.8,5,Douro Valley,Red
455,6.4,0.25,0.3,5.5,0.038,15.0,129.0,0.9948,3.14,0.49,9.6,6,Beira Interior,Red
456,6.2,0.47,0.19,8.3,0.029,24.0,142.0,0.992,3.22,0.45,12.3,6,Tejo,White
457,6.1,0.24,0.32,9.0,0.031,41.0,134.0,0.99234,3.25,0.26,12.3,7,Lisboa,Rose
458,7.9,0.11,0.49,4.5,0.048,27.0,133.0,0.9946,3.24,0.42,10.6,6,Terras De Cister,White
459,7.4,0.32,0.22,1.7,0.051,50.0,179.0,0.9955,3.28,0.69,8.9,5,Transmontano,Rose
460,7.1,0.17,0.31,1.6,0.037,15.0,103.0,0.991,3.14,0.5,12.0,6,Beira Interior,Rose
461,7.2,0.21,0.41,1.3,0.036,33.0,85.0,0.992,3.17,0.51,10.4,5,Lisboa,Rose
462,6.0,0.33,0.18,3.0,0.036,5.0,85.0,0.99125,3.28,0.4,11.5,4,Transmontano,Red
463,6.3,0.28,0.24,8.45,0.031,32.0,172.0,0.9958,3.39,0.57,9.7,7,Algarve,Red
464,5.9,0.21,0.31,1.8,0.033,45.0,142.0,0.98984,3.35,0.5,12.7,6,Minho,Red
465,6.5,0.22,0.32,2.2,0.028,36.0,92.0,0.99076,3.27,0.59,11.9,7,Dao,Rose
466,7.1,0.21,0.28,2.7,0.034,23.0,111.0,0.99405,3.35,0.64,10.2,4,Tejo,Red
467,7.1,0.17,0.38,7.4,0.052,49.0,182.0,0.9958,3.35,0.52,9.6,6,Terras De Cister,Rose
468,6.3,0.19,0.21,1.8,0.049,35.0,163.0,0.9924,3.31,0.5,10.3,6,Beira Interior,White
469,6.7,0.24,0.36,8.4,0.042,42.0,123.0,0.99473,3.34,0.52,10.9,6,Terras De Cister,Red
470,7.0,0.3,0.28,2.2,0.042,21.0,177.0,0.99166,3.2,0.57,11.4,5,Beira Interior,Rose
471,6.6,0.16,0.4,1.5,0.044,48.0,143.0,0.9912,3.54,0.52,12.4,7,Lisboa,Red
472,6.4,0.23,0.35,4.6,0.039,43.0,147.0,0.99216,3.18,0.4,11.0,7,Dao,Rose
473,6.9,0.19,0.4,1.4,0.036,14.0,55.0,0.9909,3.08,0.68,11.5,7,Terras De Cister,Rose
474,5.6,0.27,0.37,0.9,0.025,11.0,49.0,0.98845,3.29,0.33,13.1,6,Lisboa,Rose
475,6.7,0.34,0.43,1.6,0.041,29.0,114.0,0.99014,3.23,0.44,12.6,6,Transmontano,Red
476,6.8,0.19,0.33,4.9,0.047,42.0,130.0,0.99283,3.12,0.56,11.0,6,Algarve,Rose
477,6.6,0.22,0.23,17.3,0.047,37.0,118.0,0.99906,3.08,0.46,8.8,6,Dao,White
478,5.5,0.315,0.38,2.6,0.033,10.0,69.0,0.9909,3.12,0.59,10.8,6,Tejo,Red
479,6.2,0.36,0.45,10.4,0.06,22.0,184.0,0.99711,3.31,0.56,9.8,6,Setubal,White
480,6.7,0.3,0.29,2.8,0.025,37.0,107.0,0.99159,3.31,0.63,11.3,7,Terras De Cister,White
481,6.9,0.19,0.35,13.5,0.038,49.0,118.0,0.99546,3.0,0.63,10.7,6,Transmontano,Rose
